"","tip.lab","dates"
"1","CY230229","2017/03/07"
"2","CY215945","2017/01/17"
"3","CY216689","2017/01/19"
"4","CY215162","2017/01/12"
"5","CY234674","2017/04/21"
"6","CY222989","2017/02/14"
"7","CY224118","2017/03/06"
"8","CY216777","2017/01/25"
"9","CY211994","2016/11/27"
"10","CY226639","2017/01/04"
"11","CY216281","2017/01/08"
"12","CY227398","2017/02/19"
"13","MF182513","2017/02/15"
"14","KY583624","2017/01/05"
"15","CY235010","2017/01/11"
"16","KY583706","2017/01/07"
"17","CY234634","2017/04/13"
"18","KY583709","2017/01/06"
"19","CY234940","2016/12/19"
"20","CY234934","2016/12/15"
"21","KY583708","2016/12/21"
"22","KY115982","2016/09/07"
"23","CY235864","2017/03/29"
"24","CY238298","2017/03/06"
"25","CY234698","2017/04/17"
"26","CY233400","2017/03/30"
"27","CY227222","2017/02/10"
"28","CY227430","2017/03/04"
"29","CY235976","2017/05/15"
"30","CY214634","2016/12/27"
"31","CY235872","2017/05/10"
"32","CY226535","2017/01/24"
"33","CY230285","2017/02/20"
"34","CY212690","2016/12/14"
"35","CY214050","2016/12/15"
"36","CY216009","2017/01/07"
"37","CY225230","2017/03/06"
"38","CY223918","2017/02/10"
"39","CY226703","2017/01/03"
"40","CY235784","2017/05/11"
"41","CY230650","2017/03/27"
"42","CY233370","2017/03/13"
"43","CY213250","2016/12/22"
"44","CY238394","2017/01/11"
"45","CY221981","2017/02/09"
"46","MF182520","2017/01/19"
"47","CY220367","2017/01/24"
"48","CY216137","2017/01/16"
"49","CY235952","2017/05/31"
"50","CY235624","2017/04/17"
"51","CY235616","2017/04/17"
"52","CY223950","2017/02/09"
"53","CY226831","2017/01/14"
"54","CY214802","2016/11/30"
"55","CY220375","2017/01/27"
"56","CY208968","2016/10/14"
"57","CY220487","2017/01/31"
"58","CY228701","2017/03/19"
"59","CY233408","2017/04/03"
"60","CY222893","2017/02/17"
"61","CY227614","2017/02/14"
"62","CY227710","2017/02/27"
"63","CY233259","2017/03/20"
"64","MF182510","2016/12/16"
"65","CY222869","2017/02/01"
"66","CY220535","2017/01/24"
"67","CY216537","2017/01/09"
"68","CY220055","2017/01/10"
"69","CY210575","2016/11/11"
"70","CY227582","2017/03/09"
"71","CY226823","2017/01/08"
"72","CY238274","2017/02/12"
"73","KY950007","2017/01/05"
"74","KY950120","2017/02/08"
"75","KY949661","2017/01/31"
"76","CY230301","2017/02/27"
"77","KY949955","2017/01/31"
"78","CY234906","2016/12/12"
"79","CY234972","2017/01/08"
"80","CY214922","2016/12/25"
"81","KY949711","2017/01/20"
"82","CY214362","2016/12/27"
"83","CY209408","2016/10/15"
"84","CY212802","2016/12/05"
"85","KY950063","2017/01/30"
"86","KY289619","2016/10/17"
"87","CY223181","2017/03/02"
"88","CY212010","2016/11/20"
"89","KY003480","2016/09/07"
"90","KY289109","2016/10/03"
"91","KX916892","2016/08/11"
"92","CY232547","2017/04/13"
"93","KY950005","2017/02/14"
"94","CY216473","2017/01/09"
"95","CY234562","2017/04/19"
"96","MF182496","2017/02/07"
"97","CY230277","2017/03/10"
"98","CY232578","2017/04/03"
"99","CY228781","2017/03/28"
"100","CY230602","2017/03/14"
"101","CY232610","2017/04/16"
"102","CY213234","2016/12/15"
"103","CY227566","2017/03/10"
"104","CY234810","2017/05/01"
"105","CY234991","2016/12/24"
"106","CY216193","2017/01/11"
"107","CY214426","2016/12/17"
"108","CY233448","2017/03/27"
"109","CY232356","2017/04/04"
"110","CY226767","2017/01/23"
"111","CY226759","2017/01/19"
"112","CY230085","2017/02/13"
"113","CY234490","2017/04/07"
"114","CY228933","2017/03/30"
"115","CY233432","2017/03/22"
"116","CY227926","2017/03/21"
"117","CY223734","2017/02/08"
"118","CY234466","2017/04/10"
"119","CY224094","2017/02/23"
"120","CY228429","2017/03/23"
"121","KY950048","2017/02/14"
"122","CY227502","2017/03/01"
"123","CY234682","2017/04/29"
"124","KY949820","2017/02/12"
"125","CY238561","2017/03/29"
"126","CY235880","2017/05/19"
"127","CY230642","2017/03/21"
"128","CY214434","2016/12/21"
"129","CY228869","2017/02/01"
"130","CY216481","2017/01/11"
"131","CY223886","2017/02/13"
"132","CY227134","2017/02/16"
"133","KY949900","2017/02/09"
"134","KY950099","2017/02/06"
"135","KY949883","2016/12/26"
"136","CY226655","2017/01/26"
"137","CY226623","2017/01/09"
"138","CY226567","2016/12/16"
"139","CY226607","2017/01/24"
"140","CY224838","2017/02/24"
"141","CY216121","2016/12/30"
"142","CY226791","2016/12/21"
"143","CY223934","2017/02/15"
"144","CY227526","2017/03/06"
"145","CY212041","2016/12/08"
"146","CY234874","2017/04/29"
"147","CY235018","2017/01/17"
"148","CY227118","2017/01/28"
"149","CY230666","2017/03/20"
"150","CY228685","2017/03/15"
"151","CY227214","2017/02/10"
"152","CY227574","2017/03/05"
"153","CY238907","2017/06/07"
"154","CY234626","2017/04/20"
"155","CY223125","2017/02/22"
"156","CY212033","2016/12/06"
"157","CY235456","2016/12/06"
"158","CY222805","2017/02/07"
"159","CY230738","2017/03/30"
"160","CY214594","2017/01/01"
"161","CY221854","2017/02/13"
"162","CY220255","2017/01/28"
"163","CY214346","2017/01/10"
"164","CY220479","2017/02/01"
"165","CY214818","2017/01/10"
"166","CY234216","2017/04/12"
"167","CY230538","2017/02/25"
"168","CY235840","2017/03/12"
"169","CY216561","2017/01/17"
"170","CY220519","2017/01/30"
"171","CY210727","2016/11/29"
"172","KY115878","2016/08/31"
"173","CY228805","2017/03/21"
"174","CY224014","2017/02/03"
"175","CY223838","2017/02/13"
"176","KY289497","2016/10/21"
"177","CY226695","2017/02/07"
"178","CY210306","2016/11/05"
"179","CY222965","2016/02/07"
"180","CY227318","2017/02/23"
"181","CY223101","2017/02/20"
"182","CY216041","2017/01/14"
"183","CY234968","2016/12/23"
"184","CY234929","2016/12/19"
"185","CY226671","2017/01/27"
"186","KY116222","2016/09/27"
"187","CY212706","2016/12/13"
"188","MF182499","2017/01/17"
"189","MF182500","2017/01/24"
"190","CY211898","2016/11/24"
"191","CY222005","2017/01/24"
"192","CY214226","2016/12/21"
"193","CY221902","2017/01/19"
"194","CY227598","2017/03/13"
"195","CY219201","2017/01/26"
"196","KY289450","2016/10/27"
"197","CY210583","2016/11/15"
