"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","successful_clade"
"name","Clade","number of tips","number of tips after removing the future tips","sackin","colless","Variance","I2","B1","avgLadder","ILnumber","pitchforks","maxHeight","MaxWidth","DelW","Stairs1","Stairs2","Cherries","BS","descinm","getstattest","skewness","kurtosis","tips_pairwise_distance","tips_pairwise_distance_max","diameter","WienerIndex","betweenness","closeness","eigenvector","successful_clade"
"","10563","21","21","1.23309211428406","1.73807574950319","1413.13065889918","14.0847953216374","8.19563492063492","0.171052631578947","0.684210526315789","0.428571428571429","0.5","6","2","0.8","0.46279637029637","4","0.0652965178989793","0.794258820172959","3.46217771030453","1.4057459756376","3.50542477607274","19.9047619047619","145","16","5746","499","0.00529100529100529","0.408788090630196","0"
"","12475","27","25","0.728083644492987","1.13705569569174","727.742194240622","12.7773636991028","11.9218253968254","0.152173913043478","0.391304347826087","0.24","0.416666666666667","8","2","0.625","0.556957221019721","8","0.0374160453237451","-0.651001491302828","3.64151925367498","1.68775972546651","4.65807964935851","14.544","111","18","8814","677","0.00411522633744856","0.368117520482013","1"
"","15971","20","12","0.543578643578643","0.881024870771945","9174.00224862999","8.11111111111111","4.53333333333333","0.35","0.8","0.5","0.636363636363636","4","2","0.818181818181818","0.48099173553719","2","0.0164885230604705","1.04827900177965","2.20177746486465","0.48290832052447","2.00970348539543","50.5138888888889","269","11","1214","139","0.0136986301369863","0.385673308748957","1"
"","16122","27","24","0.698083644492987","1.02121102354533","2133.77702488045","13.0452253628724","11.9123015873016","0.227272727272727","0.454545454545455","0.75","0.434782608695652","8","2","0.652173913043478","0.594090504588216","7","0.0585050371191505","-0.341244848663541","3.67051143979029","2.24955556625661","7.16549266605301","24.6857638888889","196","12","6692","701","0.00578034682080925","0.37602687332945","1"
"","16150","21","20","1.00452068571264","1.52019924700595","5613.60821516696","12.0638888888889","8.35321067821068","0.444444444444444","0.555555555555556","0.45","0.631578947368421","8","4","0.684210526315789","0.507372598162072","5","0.026489645618713","0.772966701480743","3.80073084316246","1.6215748489139","5.36733555138898","40.8975","260","15","4880","409","0.00581395348837209","0.377044044862225","1"
"","16859","24","23","5.83576480391328","7.19782860897862","3313.98405692447","17.8666666666667","5.54773965714368","0.404761904761905","0.80952380952381","0","0.909090909090909","4","2","0.818181818181818","0.266438481070482","3","0.0498546421466772","1.95014715555223","7.88939013980469","3.91760405693649","17.01142833389","31.3308128544423","186","21","8176","505","0.00381679389312977","0.323456905248968","1"
"","18312","27","25","3.92808364449299","4.89705569569175","790.761379694267","20.0380434782609","6.91108613608614","0.27536231884058","0.826086956521739","0.24","0.666666666666667","4","2","0.875","0.315001776922543","3","0.0628416373043725","1.65753809700106","8.15947460840743","3.22574037785741","12.9270276693862","14.4864","142","18","9358","761","0.00409836065573771","0.3785073409316","1"
"","18433","21","12","0.876911976911977","1.21435820410528","3822.62672121455","8","4.53333333333333","0.266666666666667","0.8","0.5","0.636363636363636","4","2","0.727272727272727","0.487052341597796","2","0.0231401446220472","1.22420756960648","2.07617787455804","1.23166826255479","2.99662983331259","32.2430555555556","210","10","1158","153","0.0151515151515152","0.426680758342183","1"
"","19516","28","26","1.36808364449299","1.70398882869231","2001.07278191122","12.7655844155844","12.436544011544","0.145833333333333","0.416666666666667","0.346153846153846","0.48","8","2","0.64","0.579379953379953","8","0.0435809398398585","-0.279525069847542","3.49834984155987","1.71917037642982","5.10252212147406","24.3091715976331","198","16","9592","677","0.00377358490566038","0.319931941695313","1"
