"","strain","subtype","date","country","state","season","lat","lng"
"19348","CY238923","H3N2","2017-06-16","USA","Arizona","2016-2017",34.0489281,-111.0937311
"20178","CY238915","H3N2","2017-06-13","USA","Arizona","2016-2017",34.0489281,-111.0937311
"57733","CY238907","H3N2","2017-06-07","USA","Florida","2016-2017",27.6648274,-81.5157535
"231240","CY238859","H3N2","2017-06-07","USA","Utah","2016-2017",39.3209801,-111.0937311
"230779","CY238867","H3N2","2017-06-02","USA","Utah","2016-2017",39.3209801,-111.0937311
"29141","CY236000","H3N2","2017-05-31","USA","California","192017-2005",36.778261,-119.4179324
"99959","CY235952","H3N2","2017-05-31","USA","Louisiana","192017-2005",30.9842977,-91.9623327
"222892","CY238875","H3N2","2017-05-30","USA","Texas","192017-2005",31.9685988,-99.9018131
"58001","CY235912","H3N2","2017-05-22","USA","Florida","192017-2005",27.6648274,-81.5157535
"120676","CY238931","H3N2","2017-05-22","USA","Michigan","192017-2005",44.3148443,-85.6023643
"188756","CY235936","H3N2","2017-05-22","USA","North Dakota","192017-2005",47.5514926,-101.0020119
"18571","CY238891","H3N2","2017-05-21","USA","Arizona","192017-2005",34.0489281,-111.0937311
"18992","CY238899","H3N2","2017-05-21","USA","Arizona","192017-2005",34.0489281,-111.0937311
"56243","CY235880","H3N2","2017-05-19","USA","Florida","192017-2005",27.6648274,-81.5157535
"209519","CY235448","H3N2","2017-05-19","USA","South Carolina","192017-2005",33.836081,-81.1637245
"132133","CY235976","H3N2","2017-05-15","USA","Minnesota","192017-2005",46.729553,-94.6858998
"188466","CY235920","H3N2","2017-05-14","USA","North Dakota","192017-2005",47.5514926,-101.0020119
"98360","CY235416","H3N2","2017-05-13","USA","Louisiana","192017-2005",30.9842977,-91.9623327
"126129","CY235816","H3N2","2017-05-13","USA","Minnesota","192017-2005",46.729553,-94.6858998
"129775","CY235968","H3N2","2017-05-12","USA","Minnesota","192017-2005",46.729553,-94.6858998
"106191","CY235984","H3N2","2017-05-11","USA","Maryland","192017-2005",39.0457549,-76.6412712
"230499","CY235784","H3N2","2017-05-11","USA","Utah","192017-2005",39.3209801,-111.0937311
"54059","CY235872","H3N2","2017-05-10","USA","Florida","192017-2005",27.6648274,-81.5157535
"1072","CY234746","H3N2","2017-05-09","USA","Alabama","192017-2005",32.3182314,-86.902298
"60819","CY235824","H3N2","2017-05-08","USA","Hawaii","192017-2005",21.3155434,-157.8615682
"236054","CY238851","H3N2","2017-05-08","USA","Washington","192017-2005",47.7510741,-120.7401385
"244616","CY234818","H3N2","2017-05-08","USA","Wisconsin","192017-2005",43.7844397,-88.7878678
"230253","CY235792","H3N2","2017-05-07","USA","Utah","192017-2005",39.3209801,-111.0937311
"1032","CY234754","H3N2","2017-05-04","USA","Alabama","192017-2005",32.3182314,-86.902298
"718","CY234762","H3N2","2017-05-04","USA","Alabama","192017-2005",32.3182314,-86.902298
"870","CY234770","H3N2","2017-05-04","USA","Alabama","192017-2005",32.3182314,-86.902298
"99509","CY234794","H3N2","2017-05-02","USA","Louisiana","192017-2005",30.9842977,-91.9623327
"18628","CY238883","H3N2","2017-05-01","USA","Arizona","192017-2005",34.0489281,-111.0937311
"117983","CY234706","H3N2","2017-05-01","USA","Michigan","192017-2005",44.3148443,-85.6023643
"246385","CY234810","H3N2","2017-05-01","USA","Wisconsin","192017-2005",43.7844397,-88.7878678
