"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"HM628693","1701","Human","4 (HA)","H3N2","Brazil","T","2010/03/03","Influenza A virus (A/Acre/15093/2010(H3N2))","","","","","","c"
"HM628694","1701","Human","4 (HA)","H3N2","Brazil","T","2010/04/04","Influenza A virus (A/Acre/26954/2010(H3N2))","","","","","","c"
"KT889256","1701","Human","4 (HA)","H3N2","Ethiopia","T","2013/09/26","Influenza A virus (A/Addis Ababa/1514A07305892N/2013(H3N2))","","","","","","c"
"CY216617","1737","Human","4 (HA)","H3N2","USA","N","2017/01/04","Influenza A virus (A/Alabama/01/2017(H3N2))","","","","","","c"
"KC893090","1701","Human","4 (HA)","H3N2","USA","N","2012/01/21","Influenza A virus (A/Alabama/02/2012(H3N2))","","","","","","c"
"KT836052","1701","Human","4 (HA)","H3N2","USA","N","2015/01/26","Influenza A virus (A/Alabama/02/2015(H3N2))","","","","","","c"
"KX412662","1737","Human","4 (HA)","H3N2","USA","N","2016/01/27","Influenza A virus (A/Alabama/02/2016(H3N2))","","","","","","c"
"CY216609","1737","Human","4 (HA)","H3N2","USA","N","2017/01/05","Influenza A virus (A/Alabama/02/2017(H3N2))","","","","","","c"
"KC883039","1701","Human","4 (HA)","H3N2","USA","N","2011/04/04","Influenza A virus (A/Alabama/03/2011(H3N2))","","","","","","c"
"KC892474","1701","Human","4 (HA)","H3N2","USA","N","2012/02/16","Influenza A virus (A/Alabama/03/2012(H3N2))","","","","","","c"
"CY216625","1737","Human","4 (HA)","H3N2","USA","N","2017/01/19","Influenza A virus (A/Alabama/03/2017(H3N2))","","","","","","c"
"KC892531","1701","Human","4 (HA)","H3N2","USA","N","2011/12/07","Influenza A virus (A/Alabama/04/2011(H3N2))","","","","","","c"
"CY216633","1737","Human","4 (HA)","H3N2","USA","N","2017/01/23","Influenza A virus (A/Alabama/04/2017(H3N2))","","","","","","c"
"KC535440","1701","Human","4 (HA)","H3N2","USA","N","2010/07/13","Influenza A virus (A/Alabama/05/2010(H3N2))","","","","","","c"
"KY089323","1701","Human","4 (HA)","H3N2","USA","N","2015/03/11","Influenza A virus (A/Alabama/05/2015(H3N2))","","","","","","c"
"KY089829","1701","Human","4 (HA)","H3N2","USA","N","2015/03/11","Influenza A virus (A/Alabama/06/2015(H3N2))","","","","","","c"
"KX412838","1737","Human","4 (HA)","H3N2","USA","N","2016/01/20","Influenza A virus (A/Alabama/06/2016(H3N2))","","","","","","c"
"CY220551","1737","Human","4 (HA)","H3N2","USA","N","2017/02/07","Influenza A virus (A/Alabama/06/2017(H3N2))","","","","","","c"
"KC882678","1701","Human","4 (HA)","H3N2","USA","N","2010/10/28","Influenza A virus (A/Alabama/07/2010(H3N2))","","","","","","c"
"KC893059","1701","Human","4 (HA)","H3N2","USA","N","2012/03/20","Influenza A virus (A/Alabama/07/2012(H3N2))","","","","","","c"
"KF789571","1701","Human","4 (HA)","H3N2","USA","N","2013/05/22","Influenza A virus (A/Alabama/07/2013(H3N2))","","","","","","c"
"KT841992","1701","Human","4 (HA)","H3N2","USA","N","2015/02/11","Influenza A virus (A/Alabama/07/2015(H3N2))","","","","","","c"
"KC892181","1701","Human","4 (HA)","H3N2","USA","N","2012/04/04","Influenza A virus (A/Alabama/08/2012(H3N2))","","","","","","c"
"KT842463","1701","Human","4 (HA)","H3N2","USA","N","2015/02/14","Influenza A virus (A/Alabama/08/2015(H3N2))","","","","","","c"
"CY223045","1737","Human","4 (HA)","H3N2","USA","N","2017/02/20","Influenza A virus (A/Alabama/08/2017(H3N2))","","","","","","c"
"KT838698","1701","Human","4 (HA)","H3N2","USA","N","2014/11/05","Influenza A virus (A/Alabama/09/2014(H3N2))","","","","","","c"
"KT842000","1701","Human","4 (HA)","H3N2","USA","N","2015/02/14","Influenza A virus (A/Alabama/09/2015(H3N2))","","","","","","c"
"CY223053","1737","Human","4 (HA)","H3N2","USA","N","2017/02/24","Influenza A virus (A/Alabama/09/2017(H3N2))","","","","","","c"
"KC882574","1701","Human","4 (HA)","H3N2","USA","N","2010/11/07","Influenza A virus (A/Alabama/10/2010(H3N2))","","","","","","c"
"CY230714","1737","Human","4 (HA)","H3N2","USA","N","2017/03/06","Influenza A virus (A/Alabama/10/2017(H3N2))","","","","","","c"
"KT839906","1701","Human","4 (HA)","H3N2","USA","N","2014/12/08","Influenza A virus (A/Alabama/11/2014(H3N2))","","","","","","c"
"KT839852","1701","Human","4 (HA)","H3N2","USA","N","2014/12/09","Influenza A virus (A/Alabama/12/2014(H3N2))","","","","","","c"
"KC882465","1701","Human","4 (HA)","H3N2","USA","N","2010/12/16","Influenza A virus (A/Alabama/13/2010(H3N2))","","","","","","c"
"KY289350","1737","Human","4 (HA)","H3N2","USA","N","2016/10/19","Influenza A virus (A/Alabama/13/2016(H3N2))","","","","","","c"
"KY289394","1737","Human","4 (HA)","H3N2","USA","N","2016/10/19","Influenza A virus (A/Alabama/14/2016(H3N2))","","","","","","c"
"CY232420","1737","Human","4 (HA)","H3N2","USA","N","2017/03/15","Influenza A virus (A/Alabama/14/2017(H3N2))","","","","","","c"
"CY210695","1737","Human","4 (HA)","H3N2","USA","N","2016/11/16","Influenza A virus (A/Alabama/15/2016(H3N2))","","","","","","c"
"CY230690","1737","Human","4 (HA)","H3N2","USA","N","2017/03/20","Influenza A virus (A/Alabama/15/2017(H3N2))","","","","","","c"
"CY210687","1737","Human","4 (HA)","H3N2","USA","N","2016/11/27","Influenza A virus (A/Alabama/16/2016(H3N2))","","","","","","c"
"CY230682","1737","Human","4 (HA)","H3N2","USA","N","2017/03/29","Influenza A virus (A/Alabama/16/2017(H3N2))","","","","","","c"
"KF789662","1701","Human","4 (HA)","H3N2","USA","N","2012/09/05","Influenza A virus (A/Alabama/17/2012(H3N2))","","","","","","c"
"CY230674","1737","Human","4 (HA)","H3N2","USA","N","2017/03/30","Influenza A virus (A/Alabama/17/2017(H3N2))","","","","","","c"
"KF790257","1701","Human","4 (HA)","H3N2","USA","N","2012/10/29","Influenza A virus (A/Alabama/18/2012(H3N2))","","","","","","c"
"CY234754","1737","Human","4 (HA)","H3N2","USA","N","2017/05/04","Influenza A virus (A/Alabama/18/2017(H3N2))","","","","","","c"
"CY234762","1737","Human","4 (HA)","H3N2","USA","N","2017/05/04","Influenza A virus (A/Alabama/19/2017(H3N2))","","","","","","c"
"CY234770","1737","Human","4 (HA)","H3N2","USA","N","2017/05/04","Influenza A virus (A/Alabama/20/2017(H3N2))","","","","","","c"
"CY234746","1737","Human","4 (HA)","H3N2","USA","N","2017/05/09","Influenza A virus (A/Alabama/21/2017(H3N2))","","","","","","c"
"CY134657","1701","Human","4 (HA)","H3N2","USA","N","2012/12/11","Influenza A virus (A/Alabama/3101/2012(H3N2))","","","","","","c"
"CY134658","1701","Human","4 (HA)","H3N2","USA","N","2012/12/11","Influenza A virus (A/Alabama/3102/2012(H3N2))","","","","","","c"
"CY141176","1701","Human","4 (HA)","H3N2","USA","N","2012/12/20","Influenza A virus (A/Alabama/3161/2012(H3N2))","","","","","","c"
"CY141179","1701","Human","4 (HA)","H3N2","USA","N","2012/12/14","Influenza A virus (A/Alabama/3164/2012(H3N2))","","","","","","c"
"CY187637","1701","Human","4 (HA)","H3N2","USA","N","2014/03/24","Influenza A virus (A/Alabama/3719/2014(H3N2))","","","","","","c"
"CY193259","1701","Human","4 (HA)","H3N2","USA","N","2014/10/21","Influenza A virus (A/Alabama/4006/2014(H3N2))","","","","","","c"
"CY193260","1701","Human","4 (HA)","H3N2","USA","N","2014/10/23","Influenza A virus (A/Alabama/4007/2014(H3N2))","","","","","","c"
"CY193276","1701","Human","4 (HA)","H3N2","USA","N","2014/11/12","Influenza A virus (A/Alabama/4023/2014(H3N2))","","","","","","c"
"CY193277","1701","Human","4 (HA)","H3N2","USA","N","2014/11/19","Influenza A virus (A/Alabama/4024/2014(H3N2))","","","","","","c"
"CY193278","1701","Human","4 (HA)","H3N2","USA","N","2014/11/24","Influenza A virus (A/Alabama/4025/2014(H3N2))","","","","","","c"
"CY193279","1701","Human","4 (HA)","H3N2","USA","N","2014/11/25","Influenza A virus (A/Alabama/4026/2014(H3N2))","","","","","","c"
"CY193280","1701","Human","4 (HA)","H3N2","USA","N","2014/12/01","Influenza A virus (A/Alabama/4027/2014(H3N2))","","","","","","c"
"CY193358","1701","Human","4 (HA)","H3N2","USA","N","2014/12/22","Influenza A virus (A/Alabama/4105/2014(H3N2))","","","","","","c"
"CY193478","1701","Human","4 (HA)","H3N2","USA","N","2014/12/17","Influenza A virus (A/Alabama/4225/2014(H3N2))","","","","","","c"
"CY193479","1701","Human","4 (HA)","H3N2","USA","N","2014/12/16","Influenza A virus (A/Alabama/4226/2014(H3N2))","","","","","","c"
"CY193481","1701","Human","4 (HA)","H3N2","USA","N","2015/01/05","Influenza A virus (A/Alabama/4228/2015(H3N2))","","","","","","c"
"CY193640","1701","Human","4 (HA)","H3N2","USA","N","2015/01/09","Influenza A virus (A/Alabama/4387/2015(H3N2))","","","","","","c"
"CY193754","1701","Human","4 (HA)","H3N2","USA","N","2015/01/20","Influenza A virus (A/Alabama/4501/2015(H3N2))","","","","","","c"
"CY193861","1701","Human","4 (HA)","H3N2","USA","N","2014/12/15","Influenza A virus (A/Alabama/4608/2014(H3N2))","","","","","","c"
"CY193862","1701","Human","4 (HA)","H3N2","USA","N","2015/01/22","Influenza A virus (A/Alabama/4609/2015(H3N2))","","","","","","c"
"CY084299","1710","Human","4 (HA)","H3N2","USA","N","2010/12/16","Influenza A virus (A/Alabama/AF2692/2010(H3N2))","","","","","","c"
"CY026035","1721","Human","4 (HA)","H3N2","USA","N","2007/03/01","Influenza A virus (A/Alabama/UR06-0482/2007(H3N2))","","31 Y","M","","","c"
